Start,End,m/s
01.01.2014 00:00,01.01.2014 03:00,5.879
01.01.2014 01:00,01.01.2014 04:00,5.512
01.01.2014 02:00,01.01.2014 05:00,5.287
01.01.2014 03:00,01.01.2014 06:00,5.408
01.01.2014 04:00,01.01.2014 07:00,6.027
01.01.2014 05:00,01.01.2014 08:00,6.577
01.01.2014 06:00,01.01.2014 09:00,6.921
01.01.2014 07:00,01.01.2014 10:00,7.196
01.01.2014 08:00,01.01.2014 11:00,7.53
01.01.2014 09:00,01.01.2014 12:00,7.802
01.01.2014 10:00,01.01.2014 13:00,7.895
01.01.2014 11:00,01.01.2014 14:00,7.987
01.01.2014 12:00,01.01.2014 15:00,8.19
01.01.2014 13:00,01.01.2014 16:00,8.214
01.01.2014 14:00,01.01.2014 17:00,8.133
01.01.2014 15:00,01.01.2014 18:00,8.01
01.01.2014 16:00,01.01.2014 19:00,7.879
01.01.2014 17:00,01.01.2014 20:00,7.857
01.01.2014 18:00,01.01.2014 21:00,7.804
01.01.2014 19:00,01.01.2014 22:00,7.711
01.01.2014 20:00,01.01.2014 23:00,7.712
01.01.2014 21:00,02.01.2014 00:00,7.866
01.01.2014 22:00,02.01.2014 01:00,8.006
01.01.2014 23:00,02.01.2014 02:00,8.021
02.01.2014 00:00,02.01.2014 03:00,7.805
02.01.2014 01:00,02.01.2014 04:00,7.333
02.01.2014 02:00,02.01.2014 05:00,6.801
02.01.2014 03:00,02.01.2014 06:00,6.258
02.01.2014 04:00,02.01.2014 07:00,6.131
02.01.2014 05:00,02.01.2014 08:00,6.409
02.01.2014 06:00,02.01.2014 09:00,6.866
02.01.2014 07:00,02.01.2014 10:00,7.353
02.01.2014 08:00,02.01.2014 11:00,7.622
02.01.2014 09:00,02.01.2014 12:00,7.559
02.01.2014 10:00,02.01.2014 13:00,7.326
02.01.2014 11:00,02.01.2014 14:00,7.068
02.01.2014 12:00,02.01.2014 15:00,6.87
02.01.2014 13:00,02.01.2014 16:00,6.776
02.01.2014 14:00,02.01.2014 17:00,6.671
02.01.2014 15:00,02.01.2014 18:00,6.863
02.01.2014 16:00,02.01.2014 19:00,7.189
02.01.2014 17:00,02.01.2014 20:00,7.551
02.01.2014 18:00,02.01.2014 21:00,7.876
02.01.2014 19:00,02.01.2014 22:00,8.037
02.01.2014 20:00,02.01.2014 23:00,8.098
02.01.2014 21:00,03.01.2014 00:00,8.072
02.01.2014 22:00,03.01.2014 01:00,7.841
02.01.2014 23:00,03.01.2014 02:00,7.733
03.01.2014 00:00,03.01.2014 03:00,7.812
03.01.2014 01:00,03.01.2014 04:00,7.926
03.01.2014 02:00,03.01.2014 05:00,8.11
03.01.2014 03:00,03.01.2014 06:00,7.993
03.01.2014 04:00,03.01.2014 07:00,7.911
03.01.2014 05:00,03.01.2014 08:00,7.746
03.01.2014 06:00,03.01.2014 09:00,7.581
03.01.2014 07:00,03.01.2014 10:00,7.557
03.01.2014 08:00,03.01.2014 11:00,7.644
03.01.2014 09:00,03.01.2014 12:00,7.656
03.01.2014 10:00,03.01.2014 13:00,7.564
03.01.2014 11:00,03.01.2014 14:00,7.559
03.01.2014 12:00,03.01.2014 15:00,7.589
03.01.2014 13:00,03.01.2014 16:00,7.629
03.01.2014 14:00,03.01.2014 17:00,7.654
03.01.2014 15:00,03.01.2014 18:00,7.868
03.01.2014 16:00,03.01.2014 19:00,8.101
03.01.2014 17:00,03.01.2014 20:00,8.397
03.01.2014 18:00,03.01.2014 21:00,8.633
