Start,End,m/s
01.01.2014 00:00,01.01.2014 01:00,3.514
01.01.2014 01:00,01.01.2014 02:00,3.328
01.01.2014 02:00,01.01.2014 03:00,3.192
01.01.2014 03:00,01.01.2014 04:00,2.969
01.01.2014 04:00,01.01.2014 05:00,2.662
01.01.2014 05:00,01.01.2014 06:00,2.461
01.01.2014 06:00,01.01.2014 07:00,2.243
01.01.2014 07:00,01.01.2014 08:00,1.963
01.01.2014 08:00,01.01.2014 09:00,1.893
01.01.2014 09:00,01.01.2014 10:00,2.319
01.01.2014 10:00,01.01.2014 11:00,3.121
01.01.2014 11:00,01.01.2014 12:00,4.008
01.01.2014 12:00,01.01.2014 13:00,4.8
01.01.2014 13:00,01.01.2014 14:00,5.297
01.01.2014 14:00,01.01.2014 15:00,5.486
01.01.2014 15:00,01.01.2014 16:00,5.527
01.01.2014 16:00,01.01.2014 17:00,5.506
01.01.2014 17:00,01.01.2014 18:00,5.41
01.01.2014 18:00,01.01.2014 19:00,5.098
01.01.2014 19:00,01.01.2014 20:00,4.672
01.01.2014 20:00,01.01.2014 21:00,4.232
01.01.2014 21:00,01.01.2014 22:00,3.789
01.01.2014 22:00,01.01.2014 23:00,3.29
01.01.2014 23:00,02.01.2014 00:00,2.793
02.01.2014 00:00,02.01.2014 01:00,2.365
02.01.2014 01:00,02.01.2014 02:00,2.037
02.01.2014 02:00,02.01.2014 03:00,1.808
02.01.2014 03:00,02.01.2014 04:00,1.657
02.01.2014 04:00,02.01.2014 05:00,1.576
02.01.2014 05:00,02.01.2014 06:00,1.412
02.01.2014 06:00,02.01.2014 07:00,0.593
02.01.2014 07:00,02.01.2014 08:00,0.755
02.01.2014 08:00,02.01.2014 09:00,1.914
02.01.2014 09:00,02.01.2014 10:00,3.155
02.01.2014 10:00,02.01.2014 11:00,4.335
02.01.2014 11:00,02.01.2014 12:00,5.323
02.01.2014 12:00,02.01.2014 13:00,5.993
02.01.2014 13:00,02.01.2014 14:00,6.327
02.01.2014 14:00,02.01.2014 15:00,6.372
02.01.2014 15:00,02.01.2014 16:00,6.201
02.01.2014 16:00,02.01.2014 17:00,5.862
02.01.2014 17:00,02.01.2014 18:00,5.454
02.01.2014 18:00,02.01.2014 19:00,5.054
02.01.2014 19:00,02.01.2014 20:00,4.802
02.01.2014 20:00,02.01.2014 21:00,4.555
02.01.2014 21:00,02.01.2014 22:00,4.246
02.01.2014 22:00,02.01.2014 23:00,3.87
02.01.2014 23:00,03.01.2014 00:00,3.446
03.01.2014 00:00,03.01.2014 01:00,2.992
03.01.2014 01:00,03.01.2014 02:00,2.582
03.01.2014 02:00,03.01.2014 03:00,2.279
03.01.2014 03:00,03.01.2014 04:00,2.088
03.01.2014 04:00,03.01.2014 05:00,1.882
03.01.2014 05:00,03.01.2014 06:00,1.613
03.01.2014 06:00,03.01.2014 07:00,1.296
03.01.2014 07:00,03.01.2014 08:00,0.558
03.01.2014 08:00,03.01.2014 09:00,0.516
03.01.2014 09:00,03.01.2014 10:00,1.412
03.01.2014 10:00,03.01.2014 11:00,2.882
03.01.2014 11:00,03.01.2014 12:00,4.08
03.01.2014 12:00,03.01.2014 13:00,5.177
03.01.2014 13:00,03.01.2014 14:00,5.961
03.01.2014 14:00,03.01.2014 15:00,6.382
03.01.2014 15:00,03.01.2014 16:00,6.46
03.01.2014 16:00,03.01.2014 17:00,6.287
03.01.2014 17:00,03.01.2014 18:00,5.884
03.01.2014 18:00,03.01.2014 19:00,5.384
03.01.2014 19:00,03.01.2014 20:00,4.97
03.01.2014 20:00,03.01.2014 21:00,4.792
03.01.2014 21:00,03.01.2014 22:00,4.923
03.01.2014 22:00,03.01.2014 23:00,5.352
03.01.2014 23:00,04.01.2014 00:00,5.57
04.01.2014 00:00,04.01.2014 01:00,5
04.01.2014 01:00,04.01.2014 02:00,4.196
04.01.2014 02:00,04.01.2014 03:00,4.254
04.01.2014 03:00,04.01.2014 04:00,3.337
04.01.2014 04:00,04.01.2014 05:00,1.808
04.01.2014 05:00,04.01.2014 06:00,1.473
04.01.2014 06:00,04.01.2014 07:00,2.044
04.01.2014 07:00,04.01.2014 08:00,2.353
04.01.2014 08:00,04.01.2014 09:00,1.6
04.01.2014 09:00,04.01.2014 10:00,0.657
04.01.2014 10:00,04.01.2014 11:00,1.402
04.01.2014 11:00,04.01.2014 12:00,2.465
04.01.2014 12:00,04.01.2014 13:00,3.124
04.01.2014 13:00,04.01.2014 14:00,3.584
04.01.2014 14:00,04.01.2014 15:00,3.859
04.01.2014 15:00,04.01.2014 16:00,4.123
04.01.2014 16:00,04.01.2014 17:00,4.625
04.01.2014 17:00,04.01.2014 18:00,5.283
04.01.2014 18:00,04.01.2014 19:00,5.517
04.01.2014 19:00,04.01.2014 20:00,5.416
04.01.2014 20:00,04.01.2014 21:00,5.208
04.01.2014 21:00,04.01.2014 22:00,4.975
04.01.2014 22:00,04.01.2014 23:00,4.807
04.01.2014 23:00,05.01.2014 00:00,4.699
05.01.2014 00:00,05.01.2014 01:00,4.657
05.01.2014 01:00,05.01.2014 02:00,4.692
05.01.2014 02:00,05.01.2014 03:00,4.814
05.01.2014 03:00,05.01.2014 04:00,4.875
05.01.2014 04:00,05.01.2014 05:00,4.79
05.01.2014 05:00,05.01.2014 06:00,4.425
05.01.2014 06:00,05.01.2014 07:00,3.819
05.01.2014 07:00,05.01.2014 08:00,2.899
05.01.2014 08:00,05.01.2014 09:00,2.307
05.01.2014 09:00,05.01.2014 10:00,2.194
05.01.2014 10:00,05.01.2014 11:00,2.616
05.01.2014 11:00,05.01.2014 12:00,3.322
05.01.2014 12:00,05.01.2014 13:00,4.114
05.01.2014 13:00,05.01.2014 14:00,4.875
05.01.2014 14:00,05.01.2014 15:00,5.548
05.01.2014 15:00,05.01.2014 16:00,6.201
05.01.2014 16:00,05.01.2014 17:00,6.784
05.01.2014 17:00,05.01.2014 18:00,6.866
05.01.2014 18:00,05.01.2014 19:00,6.574
05.01.2014 19:00,05.01.2014 20:00,6.206
05.01.2014 20:00,05.01.2014 21:00,5.791
05.01.2014 21:00,05.01.2014 22:00,5.485
05.01.2014 22:00,05.01.2014 23:00,5.34
05.01.2014 23:00,06.01.2014 00:00,5.149
06.01.2014 00:00,06.01.2014 01:00,5.038
06.01.2014 01:00,06.01.2014 02:00,5.002
06.01.2014 02:00,06.01.2014 03:00,4.936
06.01.2014 03:00,06.01.2014 04:00,4.734
06.01.2014 04:00,06.01.2014 05:00,4.423
06.01.2014 05:00,06.01.2014 06:00,4.094
06.01.2014 06:00,06.01.2014 07:00,3.664
06.01.2014 07:00,06.01.2014 08:00,3.141
06.01.2014 08:00,06.01.2014 09:00,2.89
06.01.2014 09:00,06.01.2014 10:00,3.079
06.01.2014 10:00,06.01.2014 11:00,3.661
06.01.2014 11:00,06.01.2014 12:00,4.314
06.01.2014 12:00,06.01.2014 13:00,4.903
06.01.2014 13:00,06.01.2014 14:00,5.395
06.01.2014 14:00,06.01.2014 15:00,5.782
06.01.2014 15:00,06.01.2014 16:00,5.944
06.01.2014 16:00,06.01.2014 17:00,5.923
06.01.2014 17:00,06.01.2014 18:00,5.71
06.01.2014 18:00,06.01.2014 19:00,5.315
06.01.2014 19:00,06.01.2014 20:00,4.946
06.01.2014 20:00,06.01.2014 21:00,4.617
06.01.2014 21:00,06.01.2014 22:00,4.474
06.01.2014 22:00,06.01.2014 23:00,4.612
06.01.2014 23:00,07.01.2014 00:00,4.767
07.01.2014 00:00,07.01.2014 01:00,4.696
07.01.2014 01:00,07.01.2014 02:00,4.484
07.01.2014 02:00,07.01.2014 03:00,4.346
07.01.2014 03:00,07.01.2014 04:00,4.52
07.01.2014 04:00,07.01.2014 05:00,4.896
07.01.2014 05:00,07.01.2014 06:00,5.292
07.01.2014 06:00,07.01.2014 07:00,5.315
07.01.2014 07:00,07.01.2014 08:00,4.671
07.01.2014 08:00,07.01.2014 09:00,4.156
07.01.2014 09:00,07.01.2014 10:00,4.187
07.01.2014 10:00,07.01.2014 11:00,4.704
07.01.2014 11:00,07.01.2014 12:00,5.398
07.01.2014 12:00,07.01.2014 13:00,5.993
07.01.2014 13:00,07.01.2014 14:00,6.519
07.01.2014 14:00,07.01.2014 15:00,6.916
07.01.2014 15:00,07.01.2014 16:00,6.983
07.01.2014 16:00,07.01.2014 17:00,6.78
07.01.2014 17:00,07.01.2014 18:00,6.389
07.01.2014 18:00,07.01.2014 19:00,5.906
07.01.2014 19:00,07.01.2014 20:00,5.507
07.01.2014 20:00,07.01.2014 21:00,5.185
07.01.2014 21:00,07.01.2014 22:00,5.07
07.01.2014 22:00,07.01.2014 23:00,4.943
07.01.2014 23:00,08.01.2014 00:00,4.642
08.01.2014 00:00,08.01.2014 01:00,4.276
08.01.2014 01:00,08.01.2014 02:00,4.082
08.01.2014 02:00,08.01.2014 03:00,4.096
08.01.2014 03:00,08.01.2014 04:00,4.291
08.01.2014 04:00,08.01.2014 05:00,4.612
08.01.2014 05:00,08.01.2014 06:00,4.881
08.01.2014 06:00,08.01.2014 07:00,4.878
08.01.2014 07:00,08.01.2014 08:00,4.377
08.01.2014 08:00,08.01.2014 09:00,3.92
08.01.2014 09:00,08.01.2014 10:00,3.652
08.01.2014 10:00,08.01.2014 11:00,3.666
08.01.2014 11:00,08.01.2014 12:00,3.969
08.01.2014 12:00,08.01.2014 13:00,4.435
08.01.2014 13:00,08.01.2014 14:00,4.942
08.01.2014 14:00,08.01.2014 15:00,5.335
08.01.2014 15:00,08.01.2014 16:00,5.628
08.01.2014 16:00,08.01.2014 17:00,5.874
08.01.2014 17:00,08.01.2014 18:00,6.168
08.01.2014 18:00,08.01.2014 19:00,6.267
08.01.2014 19:00,08.01.2014 20:00,6.202
08.01.2014 20:00,08.01.2014 21:00,6.121
08.01.2014 21:00,08.01.2014 22:00,6.043
08.01.2014 22:00,08.01.2014 23:00,5.954
08.01.2014 23:00,09.01.2014 00:00,5.826
09.01.2014 00:00,09.01.2014 01:00,5.666
09.01.2014 01:00,09.01.2014 02:00,5.495
09.01.2014 02:00,09.01.2014 03:00,5.36
09.01.2014 03:00,09.01.2014 04:00,5.196
09.01.2014 04:00,09.01.2014 05:00,5.061
09.01.2014 05:00,09.01.2014 06:00,5.002
09.01.2014 06:00,09.01.2014 07:00,4.662
09.01.2014 07:00,09.01.2014 08:00,4.023
09.01.2014 08:00,09.01.2014 09:00,3.396
09.01.2014 09:00,09.01.2014 10:00,2.979
09.01.2014 10:00,09.01.2014 11:00,3.183
09.01.2014 11:00,09.01.2014 12:00,3.972
09.01.2014 12:00,09.01.2014 13:00,5.023
09.01.2014 13:00,09.01.2014 14:00,5.964
09.01.2014 14:00,09.01.2014 15:00,6.675
09.01.2014 15:00,09.01.2014 16:00,7.041
09.01.2014 16:00,09.01.2014 17:00,7.167
09.01.2014 17:00,09.01.2014 18:00,7.174
09.01.2014 18:00,09.01.2014 19:00,7.015
09.01.2014 19:00,09.01.2014 20:00,6.769
09.01.2014 20:00,09.01.2014 21:00,6.365
09.01.2014 21:00,09.01.2014 22:00,5.989
09.01.2014 22:00,09.01.2014 23:00,5.751
09.01.2014 23:00,10.01.2014 00:00,5.6
10.01.2014 00:00,10.01.2014 01:00,5.466
10.01.2014 01:00,10.01.2014 02:00,5.328
10.01.2014 02:00,10.01.2014 03:00,5.157
10.01.2014 03:00,10.01.2014 04:00,4.866
10.01.2014 04:00,10.01.2014 05:00,4.519
10.01.2014 05:00,10.01.2014 06:00,4.192
10.01.2014 06:00,10.01.2014 07:00,3.954
10.01.2014 07:00,10.01.2014 08:00,3.684
