Start,End,m/s
01.01.2014 00:00,01.01.2014 03:00,8.643
01.01.2014 01:00,01.01.2014 04:00,8.476
01.01.2014 02:00,01.01.2014 05:00,8.355
01.01.2014 03:00,01.01.2014 06:00,8.15
01.01.2014 04:00,01.01.2014 07:00,9.223
01.01.2014 05:00,01.01.2014 08:00,9.421
01.01.2014 06:00,01.01.2014 09:00,9.185
01.01.2014 07:00,01.01.2014 10:00,8.893
01.01.2014 08:00,01.01.2014 11:00,8.648
01.01.2014 09:00,01.01.2014 12:00,8.449
01.01.2014 10:00,01.01.2014 13:00,8.351
01.01.2014 11:00,01.01.2014 14:00,8.481
01.01.2014 12:00,01.01.2014 15:00,8.859
01.01.2014 13:00,01.01.2014 16:00,9.456
01.01.2014 14:00,01.01.2014 17:00,10.188
01.01.2014 15:00,01.01.2014 18:00,10.655
01.01.2014 16:00,01.01.2014 19:00,10.825
01.01.2014 17:00,01.01.2014 20:00,10.841
01.01.2014 18:00,01.01.2014 21:00,10.605
01.01.2014 19:00,01.01.2014 22:00,10.475
01.01.2014 20:00,01.01.2014 23:00,10.303
01.01.2014 21:00,02.01.2014 00:00,10.163
01.01.2014 22:00,02.01.2014 01:00,9.86
01.01.2014 23:00,02.01.2014 02:00,9.649
02.01.2014 00:00,02.01.2014 03:00,9.46
02.01.2014 01:00,02.01.2014 04:00,9.331
02.01.2014 02:00,02.01.2014 05:00,9.147
02.01.2014 03:00,02.01.2014 06:00,9.032
02.01.2014 04:00,02.01.2014 07:00,10.276
02.01.2014 05:00,02.01.2014 08:00,10.657
02.01.2014 06:00,02.01.2014 09:00,10.566
02.01.2014 07:00,02.01.2014 10:00,10.403
02.01.2014 08:00,02.01.2014 11:00,10.212
02.01.2014 09:00,02.01.2014 12:00,9.989
02.01.2014 10:00,02.01.2014 13:00,9.848
02.01.2014 11:00,02.01.2014 14:00,9.904
02.01.2014 12:00,02.01.2014 15:00,10.159
02.01.2014 13:00,02.01.2014 16:00,10.578
02.01.2014 14:00,02.01.2014 17:00,11.028
02.01.2014 15:00,02.01.2014 18:00,11.3
02.01.2014 16:00,02.01.2014 19:00,11.286
02.01.2014 17:00,02.01.2014 20:00,11.275
02.01.2014 18:00,02.01.2014 21:00,11.072
02.01.2014 19:00,02.01.2014 22:00,10.851
02.01.2014 20:00,02.01.2014 23:00,10.524
02.01.2014 21:00,03.01.2014 00:00,10.118
02.01.2014 22:00,03.01.2014 01:00,9.843
02.01.2014 23:00,03.01.2014 02:00,9.498
03.01.2014 00:00,03.01.2014 03:00,9.127
03.01.2014 01:00,03.01.2014 04:00,8.863
03.01.2014 02:00,03.01.2014 05:00,8.721
03.01.2014 03:00,03.01.2014 06:00,8.592
03.01.2014 04:00,03.01.2014 07:00,10.007
03.01.2014 05:00,03.01.2014 08:00,10.467
03.01.2014 06:00,03.01.2014 09:00,10.475
03.01.2014 07:00,03.01.2014 10:00,10.5
03.01.2014 08:00,03.01.2014 11:00,10.511
03.01.2014 09:00,03.01.2014 12:00,10.433
03.01.2014 10:00,03.01.2014 13:00,10.397
03.01.2014 11:00,03.01.2014 14:00,10.488
03.01.2014 12:00,03.01.2014 15:00,10.682
03.01.2014 13:00,03.01.2014 16:00,10.959
03.01.2014 14:00,03.01.2014 17:00,11.225
03.01.2014 15:00,03.01.2014 18:00,11.393
03.01.2014 16:00,03.01.2014 19:00,11.582
03.01.2014 17:00,03.01.2014 20:00,11.548
03.01.2014 18:00,03.01.2014 21:00,11.448
03.01.2014 19:00,03.01.2014 22:00,11.14
03.01.2014 20:00,03.01.2014 23:00,10.782
03.01.2014 21:00,04.01.2014 00:00,10.393
03.01.2014 22:00,04.01.2014 01:00,9.908
03.01.2014 23:00,04.01.2014 02:00,9.637
04.01.2014 00:00,04.01.2014 03:00,9.382
04.01.2014 01:00,04.01.2014 04:00,9.125
04.01.2014 02:00,04.01.2014 05:00,8.999
04.01.2014 03:00,04.01.2014 06:00,8.938
04.01.2014 04:00,04.01.2014 07:00,10.133
04.01.2014 05:00,04.01.2014 08:00,10.702
04.01.2014 06:00,04.01.2014 09:00,10.765
04.01.2014 07:00,04.01.2014 10:00,10.666
04.01.2014 08:00,04.01.2014 11:00,10.464
04.01.2014 09:00,04.01.2014 12:00,10.067
04.01.2014 10:00,04.01.2014 13:00,9.675
04.01.2014 11:00,04.01.2014 14:00,9.521
04.01.2014 12:00,04.01.2014 15:00,9.646
04.01.2014 13:00,04.01.2014 16:00,10.005
04.01.2014 14:00,04.01.2014 17:00,10.362
04.01.2014 15:00,04.01.2014 18:00,10.676
04.01.2014 16:00,04.01.2014 19:00,10.672
04.01.2014 17:00,04.01.2014 20:00,10.578
04.01.2014 18:00,04.01.2014 21:00,10.352
04.01.2014 19:00,04.01.2014 22:00,10.1
04.01.2014 20:00,04.01.2014 23:00,9.843
04.01.2014 21:00,05.01.2014 00:00,9.604
04.01.2014 22:00,05.01.2014 01:00,9.364
04.01.2014 23:00,05.01.2014 02:00,9.239
05.01.2014 00:00,05.01.2014 03:00,9.052
05.01.2014 01:00,05.01.2014 04:00,8.761
05.01.2014 02:00,05.01.2014 05:00,8.637
05.01.2014 03:00,05.01.2014 06:00,8.683
05.01.2014 04:00,05.01.2014 07:00,10.215
05.01.2014 05:00,05.01.2014 08:00,10.932
05.01.2014 06:00,05.01.2014 09:00,10.967
05.01.2014 07:00,05.01.2014 10:00,10.653
05.01.2014 08:00,05.01.2014 11:00,10.251
05.01.2014 09:00,05.01.2014 12:00,9.769
05.01.2014 10:00,05.01.2014 13:00,9.358
05.01.2014 11:00,05.01.2014 14:00,9.174
05.01.2014 12:00,05.01.2014 15:00,9.243
05.01.2014 13:00,05.01.2014 16:00,9.571
05.01.2014 14:00,05.01.2014 17:00,10.071
05.01.2014 15:00,05.01.2014 18:00,10.578
05.01.2014 16:00,05.01.2014 19:00,10.963
05.01.2014 17:00,05.01.2014 20:00,11.212
05.01.2014 18:00,05.01.2014 21:00,11.252
05.01.2014 19:00,05.01.2014 22:00,11.158
